v,omega,x,y,phi,xr,yr,phir,delta
0.5129,0.8238,0.0000,-0.1483,-0.2310,0.0000,0.0000,0.0000,0.2360
0.5523,0.6467,0.0997,-0.1612,-0.2145,0.0000,0.0000,0.0000,0.2272
0.5631,0.5450,0.1998,-0.1717,-0.2016,0.0000,0.0000,0.0000,0.2187
0.5589,0.4834,0.3000,-0.1807,-0.1907,0.0000,0.0000,0.0000,0.2104
0.5469,0.4434,0.4003,-0.1887,-0.1810,0.0000,0.0000,0.0000,0.2023
0.5310,0.4150,0.5006,-0.1959,-0.1721,0.0000,0.0000,0.0000,0.1945
0.5132,0.3929,0.6010,-0.2026,-0.1638,0.0000,0.0000,0.0000,0.1868
0.4947,0.3745,0.7013,-0.2087,-0.1560,0.0000,0.0000,0.0000,0.1793
0.4760,0.3580,0.8016,-0.2145,-0.1485,0.0000,0.0000,0.0000,0.1720
0.4574,0.3429,0.9019,-0.2199,-0.1413,0.0000,0.0000,0.0000,0.1649
0.4391,0.3286,1.0022,-0.2249,-0.1345,0.0000,0.0000,0.0000,0.1580
0.4212,0.3149,1.1025,-0.2296,-0.1279,0.0000,0.0000,0.0000,0.1513
0.4037,0.3016,1.2028,-0.2340,-0.1216,0.0000,0.0000,0.0000,0.1447
0.3866,0.2888,1.3030,-0.2381,-0.1156,0.0000,0.0000,0.0000,0.1384
0.3699,0.2764,1.4032,-0.2420,-0.1098,0.0000,0.0000,0.0000,0.1321
0.3537,0.2643,1.5034,-0.2456,-0.1043,0.0000,0.0000,0.0000,0.1261
0.3379,0.2525,1.6036,-0.2490,-0.0990,0.0000,0.0000,0.0000,0.1202
0.3225,0.2410,1.7038,-0.2521,-0.0939,0.0000,0.0000,0.0000,0.1144
0.3075,0.2298,1.8040,-0.2551,-0.0891,0.0000,0.0000,0.0000,0.1089
0.2929,0.2190,1.9041,-0.2579,-0.0845,0.0000,0.0000,0.0000,0.1034
0.2787,0.2084,2.0043,-0.2605,-0.0801,0.0000,0.0000,0.0000,0.0981
0.2649,0.1981,2.1044,-0.2629,-0.0760,0.0000,0.0000,0.0000,0.0930
0.2515,0.1881,2.2045,-0.2652,-0.0720,0.0000,0.0000,0.0000,0.0880
0.2384,0.1784,2.3046,-0.2674,-0.0682,0.0000,0.0000,0.0000,0.0831
0.2256,0.1689,2.4047,-0.2695,-0.0647,0.0000,0.0000,0.0000,0.0784
0.2132,0.1597,2.5048,-0.2714,-0.0613,0.0000,0.0000,0.0000,0.0738
0.2012,0.1507,2.6048,-0.2733,-0.0581,0.0000,0.0000,0.0000,0.0693
0.1895,0.1420,2.7049,-0.2751,-0.0551,0.0000,0.0000,0.0000,0.0649
0.1780,0.1335,2.8050,-0.2768,-0.0523,0.0000,0.0000,0.0000,0.0607
0.1670,0.1252,2.9050,-0.2785,-0.0496,0.0000,0.0000,0.0000,0.0565
0.1562,0.1172,3.0051,-0.2801,-0.0471,0.0000,0.0000,0.0000,0.0525
0.1457,0.1094,3.1051,-0.2817,-0.0447,0.0000,0.0000,0.0000,0.0486
0.1355,0.1018,3.2051,-0.2832,-0.0426,0.0000,0.0000,0.0000,0.0448
0.1255,0.0944,3.3051,-0.2848,-0.0405,0.0000,0.0000,0.0000,0.0412
0.1159,0.0872,3.4052,-0.2863,-0.0386,0.0000,0.0000,0.0000,0.0376
0.1065,0.0802,3.5052,-0.2879,-0.0369,0.0000,0.0000,0.0000,0.0341
0.0974,0.0734,3.6052,-0.2894,-0.0353,0.0000,0.0000,0.0000,0.0307
0.0886,0.0668,3.7052,-0.2910,-0.0338,0.0000,0.0000,0.0000,0.0274
0.0800,0.0604,3.8052,-0.2926,-0.0325,0.0000,0.0000,0.0000,0.0242
0.0716,0.0542,3.9052,-0.2943,-0.0313,0.0000,0.0000,0.0000,0.0212
0.0635,0.0482,4.0052,-0.2960,-0.0302,0.0000,0.0000,0.0000,0.0182
0.0556,0.0423,4.1052,-0.2977,-0.0292,0.0000,0.0000,0.0000,0.0153
0.0480,0.0366,4.2052,-0.2995,-0.0284,0.0000,0.0000,0.0000,0.0125
0.0406,0.0311,4.3052,-0.3014,-0.0276,0.0000,0.0000,0.0000,0.0098
0.0335,0.0258,4.4051,-0.3034,-0.0270,0.0000,0.0000,0.0000,0.0072
0.0267,0.0208,4.5051,-0.3054,-0.0265,0.0000,0.0000,0.0000,0.0049
0.0203,0.0160,4.6051,-0.3075,-0.0261,0.0000,0.0000,0.0000,0.0028
0.0144,0.0115,4.7051,-0.3097,-0.0258,0.0000,0.0000,0.0000,0.0011
0.0092,0.0076,4.8051,-0.3120,-0.0255,0.0000,0.0000,0.0000,-0.0000
0.0051,0.0045,4.9050,-0.3144,-0.0254,0.0000,0.0000,0.0000,-0.0000
