v,omega,x,y,phi,xr,yr,phir,delta
0.0164,0.0124,6.8082,-0.1462,0.0211,0.0000,0.0000,0.0000,0.0048
0.0145,0.0110,6.9082,-0.1437,0.0213,0.0000,0.0000,0.0000,0.0041
0.0127,0.0096,7.0082,-0.1413,0.0215,0.0000,0.0000,0.0000,0.0035
0.0110,0.0084,7.1081,-0.1389,0.0217,0.0000,0.0000,0.0000,0.0029
0.0093,0.0071,7.2081,-0.1365,0.0219,0.0000,0.0000,0.0000,0.0023
0.0078,0.0060,7.3081,-0.1341,0.0220,0.0000,0.0000,0.0000,0.0018
0.0063,0.0049,7.4081,-0.1318,0.0221,0.0000,0.0000,0.0000,0.0012
0.0049,0.0038,7.5080,-0.1294,0.0222,0.0000,0.0000,0.0000,0.0007
0.0035,0.0028,7.6080,-0.1271,0.0223,0.0000,0.0000,0.0000,0.0003
0.0023,0.0019,7.7080,-0.1248,0.0224,0.0000,0.0000,0.0000,-0.0002
0.0011,0.0010,7.8079,-0.1225,0.0224,0.0000,0.0000,0.0000,-0.0006
-0.0001,0.0001,7.9079,-0.1203,0.0224,0.0000,0.0000,0.0000,-0.0010
-0.0012,-0.0007,8.0079,-0.1180,0.0224,0.0000,0.0000,0.0000,-0.0014
-0.0022,-0.0015,8.1079,-0.1158,0.0224,0.0000,0.0000,0.0000,-0.0018
-0.0032,-0.0022,8.2078,-0.1136,0.0224,0.0000,0.0000,0.0000,-0.0021
-0.0041,-0.0029,8.3078,-0.1114,0.0223,0.0000,0.0000,0.0000,-0.0024
-0.0050,-0.0036,8.4078,-0.1093,0.0223,0.0000,0.0000,0.0000,-0.0027
-0.0059,-0.0042,8.5078,-0.1072,0.0222,0.0000,0.0000,0.0000,-0.0030
-0.0066,-0.0048,8.6078,-0.1051,0.0221,0.0000,0.0000,0.0000,-0.0033
-0.0074,-0.0054,8.7077,-0.1030,0.0220,0.0000,0.0000,0.0000,-0.0035
-0.0081,-0.0059,8.8077,-0.1009,0.0219,0.0000,0.0000,0.0000,-0.0038
-0.0087,-0.0064,8.9077,-0.0989,0.0218,0.0000,0.0000,0.0000,-0.0040
-0.0093,-0.0068,9.0077,-0.0969,0.0217,0.0000,0.0000,0.0000,-0.0042
-0.0099,-0.0073,9.1077,-0.0949,0.0215,0.0000,0.0000,0.0000,-0.0044
-0.0105,-0.0077,9.2076,-0.0929,0.0214,0.0000,0.0000,0.0000,-0.0046
-0.0110,-0.0081,9.3076,-0.0910,0.0212,0.0000,0.0000,0.0000,-0.0048
-0.0114,-0.0084,9.4076,-0.0891,0.0211,0.0000,0.0000,0.0000,-0.0049
-0.0119,-0.0087,9.5076,-0.0872,0.0209,0.0000,0.0000,0.0000,-0.0051
-0.0123,-0.0090,9.6076,-0.0854,0.0207,0.0000,0.0000,0.0000,-0.0052
-0.0127,-0.0093,9.7075,-0.0835,0.0206,0.0000,0.0000,0.0000,-0.0053
-0.0130,-0.0096,9.8075,-0.0817,0.0204,0.0000,0.0000,0.0000,-0.0055
-0.0134,-0.0098,9.9075,-0.0800,0.0202,0.0000,0.0000,0.0000,-0.0056
-0.0137,-0.0101,10.0075,-0.0782,0.0200,0.0000,0.0000,0.0000,-0.0057
-0.0139,-0.0103,10.1075,-0.0765,0.0198,0.0000,0.0000,0.0000,-0.0057
-0.0142,-0.0105,10.2075,-0.0748,0.0196,0.0000,0.0000,0.0000,-0.0058
-0.0144,-0.0106,10.3075,-0.0731,0.0194,0.0000,0.0000,0.0000,-0.0059
-0.0146,-0.0108,10.4074,-0.0715,0.0192,0.0000,0.0000,0.0000,-0.0060
-0.0148,-0.0109,10.5074,-0.0698,0.0189,0.0000,0.0000,0.0000,-0.0060
-0.0150,-0.0110,10.6074,-0.0682,0.0187,0.0000,0.0000,0.0000,-0.0061
-0.0151,-0.0112,10.7074,-0.0667,0.0185,0.0000,0.0000,0.0000,-0.0061
-0.0152,-0.0113,10.8074,-0.0651,0.0183,0.0000,0.0000,0.0000,-0.0061
-0.0153,-0.0113,10.9074,-0.0636,0.0181,0.0000,0.0000,0.0000,-0.0062
-0.0154,-0.0114,11.0074,-0.0621,0.0178,0.0000,0.0000,0.0000,-0.0062
-0.0155,-0.0115,11.1074,-0.0606,0.0176,0.0000,0.0000,0.0000,-0.0062
-0.0156,-0.0115,11.2074,-0.0592,0.0174,0.0000,0.0000,0.0000,-0.0062
-0.0156,-0.0116,11.3073,-0.0577,0.0171,0.0000,0.0000,0.0000,-0.0062
-0.0156,-0.0116,11.4073,-0.0563,0.0169,0.0000,0.0000,0.0000,-0.0062
-0.0157,-0.0116,11.5073,-0.0550,0.0167,0.0000,0.0000,0.0000,-0.0062
-0.0157,-0.0116,11.6073,-0.0536,0.0164,0.0000,0.0000,0.0000,-0.0062
-0.0157,-0.0116,11.7073,-0.0523,0.0162,0.0000,0.0000,0.0000,-0.0062
-0.0157,-0.0116,11.8073,-0.0510,0.0160,0.0000,0.0000,0.0000,-0.0062
-0.0156,-0.0116,11.9073,-0.0497,0.0158,0.0000,0.0000,0.0000,-0.0062
-0.0156,-0.0115,12.0073,-0.0484,0.0155,0.0000,0.0000,0.0000,-0.0061
-0.0155,-0.0115,12.1073,-0.0472,0.0153,0.0000,0.0000,0.0000,-0.0061
-0.0155,-0.0115,12.2073,-0.0460,0.0151,0.0000,0.0000,0.0000,-0.0061
-0.0154,-0.0114,12.3073,-0.0448,0.0148,0.0000,0.0000,0.0000,-0.0060
-0.0154,-0.0114,12.4073,-0.0436,0.0146,0.0000,0.0000,0.0000,-0.0060
-0.0153,-0.0113,12.5073,-0.0424,0.0144,0.0000,0.0000,0.0000,-0.0060
-0.0152,-0.0113,12.6072,-0.0413,0.0141,0.0000,0.0000,0.0000,-0.0059
-0.0151,-0.0112,12.7072,-0.0402,0.0139,0.0000,0.0000,0.0000,-0.0059
-0.0150,-0.0111,12.8072,-0.0391,0.0137,0.0000,0.0000,0.0000,-0.0059
-0.0149,-0.0110,12.9072,-0.0380,0.0135,0.0000,0.0000,0.0000,-0.0058
-0.0148,-0.0110,13.0072,-0.0370,0.0133,0.0000,0.0000,0.0000,-0.0058
-0.0147,-0.0109,13.1072,-0.0360,0.0130,0.0000,0.0000,0.0000,-0.0057
-0.0146,-0.0108,13.2072,-0.0349,0.0128,0.0000,0.0000,0.0000,-0.0057
-0.0144,-0.0107,13.3072,-0.0340,0.0126,0.0000,0.0000,0.0000,-0.0056
-0.0143,-0.0106,13.4072,-0.0330,0.0124,0.0000,0.0000,0.0000,-0.0055
-0.0142,-0.0105,13.5072,-0.0320,0.0122,0.0000,0.0000,0.0000,-0.0055
-0.0140,-0.0104,13.6072,-0.0311,0.0120,0.0000,0.0000,0.0000,-0.0054
-0.0139,-0.0103,13.7072,-0.0302,0.0118,0.0000,0.0000,0.0000,-0.0054
-0.0138,-0.0102,13.8072,-0.0293,0.0116,0.0000,0.0000,0.0000,-0.0053
-0.0136,-0.0101,13.9072,-0.0284,0.0113,0.0000,0.0000,0.0000,-0.0053
