v,omega,x,y,phi,xr,yr,phir,delta
0.5129,0.8238,0.0000,-0.1483,-0.2310,0.0000,0.0000,0.0000,0.2578
0.5768,0.6634,0.0997,-0.1612,-0.2145,0.0000,0.0000,0.0000,0.2487
0.6009,0.5713,0.1999,-0.1712,-0.2012,0.0000,0.0000,0.0000,0.2400
0.6038,0.5153,0.3002,-0.1794,-0.1898,0.0000,0.0000,0.0000,0.2314
0.5954,0.4783,0.4007,-0.1864,-0.1795,0.0000,0.0000,0.0000,0.2231
0.5813,0.4516,0.5012,-0.1926,-0.1699,0.0000,0.0000,0.0000,0.2151
0.5642,0.4303,0.6018,-0.1980,-0.1609,0.0000,0.0000,0.0000,0.2072
0.5459,0.4122,0.7023,-0.2029,-0.1523,0.0000,0.0000,0.0000,0.1996
0.5272,0.3958,0.8028,-0.2073,-0.1441,0.0000,0.0000,0.0000,0.1922
0.5084,0.3806,0.9033,-0.2112,-0.1361,0.0000,0.0000,0.0000,0.1850
0.4899,0.3662,1.0037,-0.2147,-0.1285,0.0000,0.0000,0.0000,0.1780
0.4718,0.3523,1.1041,-0.2178,-0.1212,0.0000,0.0000,0.0000,0.1712
0.4540,0.3390,1.2046,-0.2205,-0.1142,0.0000,0.0000,0.0000,0.1646
0.4368,0.3260,1.3049,-0.2229,-0.1074,0.0000,0.0000,0.0000,0.1582
0.4200,0.3135,1.4053,-0.2249,-0.1009,0.0000,0.0000,0.0000,0.1519
0.4038,0.3013,1.5056,-0.2267,-0.0946,0.0000,0.0000,0.0000,0.1459
0.3879,0.2895,1.6060,-0.2281,-0.0886,0.0000,0.0000,0.0000,0.1400
0.3726,0.2781,1.7062,-0.2292,-0.0828,0.0000,0.0000,0.0000,0.1344
0.3577,0.2670,1.8065,-0.2300,-0.0772,0.0000,0.0000,0.0000,0.1289
0.3432,0.2562,1.9068,-0.2306,-0.0719,0.0000,0.0000,0.0000,0.1235
0.3292,0.2458,2.0070,-0.2309,-0.0668,0.0000,0.0000,0.0000,0.1184
0.3157,0.2357,2.1072,-0.2310,-0.0618,0.0000,0.0000,0.0000,0.1134
0.3025,0.2259,2.2074,-0.2309,-0.0571,0.0000,0.0000,0.0000,0.1085
0.2898,0.2164,2.3076,-0.2306,-0.0526,0.0000,0.0000,0.0000,0.1038
0.2774,0.2072,2.4078,-0.2301,-0.0483,0.0000,0.0000,0.0000,0.0993
0.2655,0.1983,2.5079,-0.2293,-0.0441,0.0000,0.0000,0.0000,0.0949
0.2539,0.1897,2.6081,-0.2284,-0.0402,0.0000,0.0000,0.0000,0.0906
0.2427,0.1813,2.7082,-0.2274,-0.0364,0.0000,0.0000,0.0000,0.0865
0.2319,0.1733,2.8083,-0.2262,-0.0327,0.0000,0.0000,0.0000,0.0826
0.2214,0.1654,2.9084,-0.2248,-0.0293,0.0000,0.0000,0.0000,0.0787
0.2113,0.1579,3.0085,-0.2233,-0.0260,0.0000,0.0000,0.0000,0.0750
0.2015,0.1506,3.1086,-0.2217,-0.0228,0.0000,0.0000,0.0000,0.0714
0.1920,0.1435,3.2086,-0.2199,-0.0198,0.0000,0.0000,0.0000,0.0679
0.1829,0.1367,3.3087,-0.2181,-0.0169,0.0000,0.0000,0.0000,0.0646
0.1740,0.1301,3.4087,-0.2161,-0.0142,0.0000,0.0000,0.0000,0.0614
0.1655,0.1238,3.5088,-0.2140,-0.0116,0.0000,0.0000,0.0000,0.0583
0.1573,0.1177,3.6088,-0.2119,-0.0091,0.0000,0.0000,0.0000,0.0553
0.1493,0.1117,3.7088,-0.2097,-0.0068,0.0000,0.0000,0.0000,0.0524
0.1417,0.1060,3.8088,-0.2074,-0.0045,0.0000,0.0000,0.0000,0.0496
0.1343,0.1005,3.9088,-0.2050,-0.0024,0.0000,0.0000,0.0000,0.0469
0.1272,0.0952,4.0089,-0.2025,-0.0004,0.0000,0.0000,0.0000,0.0443
0.1203,0.0901,4.1089,-0.2000,0.0015,0.0000,0.0000,0.0000,0.0418
0.1137,0.0851,4.2089,-0.1975,0.0033,0.0000,0.0000,0.0000,0.0394
0.1073,0.0804,4.3088,-0.1949,0.0050,0.0000,0.0000,0.0000,0.0371
0.1012,0.0758,4.4088,-0.1922,0.0066,0.0000,0.0000,0.0000,0.0348
0.0953,0.0714,4.5088,-0.1895,0.0081,0.0000,0.0000,0.0000,0.0327
0.0896,0.0672,4.6088,-0.1868,0.0096,0.0000,0.0000,0.0000,0.0306
0.0841,0.0631,4.7088,-0.1841,0.0109,0.0000,0.0000,0.0000,0.0287
0.0789,0.0592,4.8088,-0.1813,0.0122,0.0000,0.0000,0.0000,0.0268
0.0738,0.0554,4.9087,-0.1785,0.0133,0.0000,0.0000,0.0000,0.0249
0.0690,0.0518,5.0087,-0.1757,0.0145,0.0000,0.0000,0.0000,0.0232
0.0643,0.0483,5.1087,-0.1729,0.0155,0.0000,0.0000,0.0000,0.0215
0.0598,0.0450,5.2086,-0.1700,0.0165,0.0000,0.0000,0.0000,0.0199
0.0555,0.0417,5.3086,-0.1672,0.0174,0.0000,0.0000,0.0000,0.0183
0.0514,0.0387,5.4086,-0.1643,0.0182,0.0000,0.0000,0.0000,0.0169
0.0475,0.0357,5.5085,-0.1615,0.0190,0.0000,0.0000,0.0000,0.0154
0.0437,0.0329,5.6085,-0.1586,0.0197,0.0000,0.0000,0.0000,0.0141
0.0401,0.0302,5.7085,-0.1558,0.0203,0.0000,0.0000,0.0000,0.0128
0.0366,0.0276,5.8084,-0.1530,0.0209,0.0000,0.0000,0.0000,0.0115
0.0333,0.0251,5.9084,-0.1501,0.0215,0.0000,0.0000,0.0000,0.0104
0.0301,0.0228,6.0083,-0.1473,0.0220,0.0000,0.0000,0.0000,0.0092
0.0271,0.0205,6.1083,-0.1445,0.0225,0.0000,0.0000,0.0000,0.0081
0.0242,0.0183,6.2083,-0.1417,0.0229,0.0000,0.0000,0.0000,0.0071
0.0214,0.0163,6.3082,-0.1390,0.0232,0.0000,0.0000,0.0000,0.0061
0.0188,0.0143,6.4082,-0.1362,0.0236,0.0000,0.0000,0.0000,0.0052
0.0162,0.0124,6.5082,-0.1335,0.0238,0.0000,0.0000,0.0000,0.0043
0.0138,0.0106,6.6081,-0.1308,0.0241,0.0000,0.0000,0.0000,0.0035
0.0116,0.0089,6.7081,-0.1281,0.0243,0.0000,0.0000,0.0000,0.0026
0.0094,0.0073,6.8081,-0.1254,0.0245,0.0000,0.0000,0.0000,0.0019
0.0073,0.0057,6.9080,-0.1228,0.0246,0.0000,0.0000,0.0000,0.0012
0.0054,0.0042,7.0080,-0.1202,0.0247,0.0000,0.0000,0.0000,0.0005
0.0035,0.0029,7.1080,-0.1176,0.0248,0.0000,0.0000,0.0000,-0.0002
0.0017,0.0015,7.2079,-0.1151,0.0249,0.0000,0.0000,0.0000,-0.0008
0.0000,0.0003,7.3079,-0.1125,0.0249,0.0000,0.0000,0.0000,-0.0014
-0.0015,-0.0009,7.4079,-0.1100,0.0249,0.0000,0.0000,0.0000,-0.0019
-0.0030,-0.0020,7.5078,-0.1076,0.0249,0.0000,0.0000,0.0000,-0.0025
-0.0045,-0.0031,7.6078,-0.1052,0.0249,0.0000,0.0000,0.0000,-0.0030
-0.0058,-0.0041,7.7078,-0.1028,0.0248,0.0000,0.0000,0.0000,-0.0034
-0.0071,-0.0050,7.8077,-0.1004,0.0247,0.0000,0.0000,0.0000,-0.0038
-0.0082,-0.0059,7.9077,-0.0981,0.0246,0.0000,0.0000,0.0000,-0.0043
-0.0093,-0.0068,8.0077,-0.0958,0.0245,0.0000,0.0000,0.0000,-0.0046
-0.0104,-0.0075,8.1077,-0.0935,0.0244,0.0000,0.0000,0.0000,-0.0050
-0.0114,-0.0083,8.2076,-0.0913,0.0242,0.0000,0.0000,0.0000,-0.0053
-0.0123,-0.0090,8.3076,-0.0891,0.0240,0.0000,0.0000,0.0000,-0.0056
-0.0131,-0.0096,8.4076,-0.0869,0.0239,0.0000,0.0000,0.0000,-0.0059
-0.0139,-0.0102,8.5076,-0.0848,0.0237,0.0000,0.0000,0.0000,-0.0062
-0.0146,-0.0107,8.6075,-0.0827,0.0235,0.0000,0.0000,0.0000,-0.0064
-0.0153,-0.0112,8.7075,-0.0807,0.0233,0.0000,0.0000,0.0000,-0.0066
-0.0159,-0.0117,8.8075,-0.0786,0.0230,0.0000,0.0000,0.0000,-0.0068
-0.0165,-0.0121,8.9075,-0.0767,0.0228,0.0000,0.0000,0.0000,-0.0070
-0.0170,-0.0125,9.0075,-0.0747,0.0226,0.0000,0.0000,0.0000,-0.0072
-0.0175,-0.0129,9.1075,-0.0728,0.0223,0.0000,0.0000,0.0000,-0.0073
-0.0179,-0.0132,9.2074,-0.0709,0.0220,0.0000,0.0000,0.0000,-0.0075
-0.0183,-0.0135,9.3074,-0.0691,0.0218,0.0000,0.0000,0.0000,-0.0076
-0.0187,-0.0138,9.4074,-0.0673,0.0215,0.0000,0.0000,0.0000,-0.0077
-0.0190,-0.0140,9.5074,-0.0655,0.0212,0.0000,0.0000,0.0000,-0.0078
-0.0192,-0.0142,9.6074,-0.0637,0.0210,0.0000,0.0000,0.0000,-0.0078
-0.0195,-0.0144,9.7074,-0.0620,0.0207,0.0000,0.0000,0.0000,-0.0079
-0.0197,-0.0145,9.8073,-0.0604,0.0204,0.0000,0.0000,0.0000,-0.0079
-0.0198,-0.0146,9.9073,-0.0587,0.0201,0.0000,0.0000,0.0000,-0.0080
-0.0199,-0.0147,10.0073,-0.0571,0.0198,0.0000,0.0000,0.0000,-0.0080
-0.0200,-0.0148,10.1073,-0.0555,0.0195,0.0000,0.0000,0.0000,-0.0080
-0.0201,-0.0149,10.2073,-0.0540,0.0192,0.0000,0.0000,0.0000,-0.0080
-0.0201,-0.0149,10.3073,-0.0524,0.0189,0.0000,0.0000,0.0000,-0.0080
-0.0201,-0.0149,10.4073,-0.0510,0.0186,0.0000,0.0000,0.0000,-0.0080
-0.0201,-0.0149,10.5073,-0.0495,0.0183,0.0000,0.0000,0.0000,-0.0079
-0.0200,-0.0148,10.6073,-0.0481,0.0180,0.0000,0.0000,0.0000,-0.0079
-0.0200,-0.0148,10.7072,-0.0467,0.0177,0.0000,0.0000,0.0000,-0.0078
-0.0199,-0.0147,10.8072,-0.0453,0.0174,0.0000,0.0000,0.0000,-0.0078
-0.0197,-0.0146,10.9072,-0.0440,0.0171,0.0000,0.0000,0.0000,-0.0077
-0.0196,-0.0145,11.0072,-0.0426,0.0168,0.0000,0.0000,0.0000,-0.0076
-0.0194,-0.0144,11.1072,-0.0413,0.0165,0.0000,0.0000,0.0000,-0.0075
-0.0192,-0.0143,11.2072,-0.0401,0.0163,0.0000,0.0000,0.0000,-0.0074
-0.0190,-0.0141,11.3072,-0.0388,0.0160,0.0000,0.0000,0.0000,-0.0073
-0.0188,-0.0139,11.4072,-0.0376,0.0157,0.0000,0.0000,0.0000,-0.0072
-0.0185,-0.0138,11.5072,-0.0364,0.0154,0.0000,0.0000,0.0000,-0.0071
-0.0183,-0.0136,11.6072,-0.0353,0.0151,0.0000,0.0000,0.0000,-0.0070
-0.0180,-0.0133,11.7072,-0.0341,0.0149,0.0000,0.0000,0.0000,-0.0068
-0.0177,-0.0131,11.8072,-0.0330,0.0146,0.0000,0.0000,0.0000,-0.0067
-0.0173,-0.0129,11.9072,-0.0319,0.0143,0.0000,0.0000,0.0000,-0.0066
-0.0170,-0.0126,12.0072,-0.0308,0.0141,0.0000,0.0000,0.0000,-0.0064
-0.0166,-0.0124,12.1072,-0.0297,0.0138,0.0000,0.0000,0.0000,-0.0063
-0.0163,-0.0121,12.2072,-0.0287,0.0136,0.0000,0.0000,0.0000,-0.0061
-0.0159,-0.0118,12.3071,-0.0276,0.0133,0.0000,0.0000,0.0000,-0.0059
-0.0154,-0.0115,12.4071,-0.0266,0.0131,0.0000,0.0000,0.0000,-0.0057
-0.0150,-0.0112,12.5071,-0.0256,0.0129,0.0000,0.0000,0.0000,-0.0056
-0.0146,-0.0109,12.6071,-0.0246,0.0126,0.0000,0.0000,0.0000,-0.0054
-0.0141,-0.0105,12.7071,-0.0237,0.0124,0.0000,0.0000,0.0000,-0.0052
-0.0136,-0.0102,12.8071,-0.0227,0.0122,0.0000,0.0000,0.0000,-0.0050
-0.0132,-0.0098,12.9071,-0.0218,0.0120,0.0000,0.0000,0.0000,-0.0048
-0.0127,-0.0094,13.0071,-0.0208,0.0118,0.0000,0.0000,0.0000,-0.0045
-0.0121,-0.0091,13.1071,-0.0199,0.0116,0.0000,0.0000,0.0000,-0.0043
-0.0116,-0.0087,13.2071,-0.0190,0.0114,0.0000,0.0000,0.0000,-0.0041
-0.0110,-0.0083,13.3071,-0.0180,0.0113,0.0000,0.0000,0.0000,-0.0039
-0.0105,-0.0078,13.4071,-0.0171,0.0111,0.0000,0.0000,0.0000,-0.0036
-0.0099,-0.0074,13.5071,-0.0162,0.0110,0.0000,0.0000,0.0000,-0.0034
-0.0093,-0.0070,13.6071,-0.0153,0.0108,0.0000,0.0000,0.0000,-0.0031
-0.0087,-0.0065,13.7071,-0.0144,0.0107,0.0000,0.0000,0.0000,-0.0029
-0.0080,-0.0060,13.8071,-0.0136,0.0105,0.0000,0.0000,0.0000,-0.0026
-0.0074,-0.0056,13.9071,-0.0127,0.0104,0.0000,0.0000,0.0000,-0.0023
-0.0067,-0.0051,14.0071,-0.0118,0.0103,0.0000,0.0000,0.0000,-0.0021
-0.0060,-0.0046,14.1071,-0.0109,0.0102,0.0000,0.0000,0.0000,-0.0018
-0.0053,-0.0040,14.2071,-0.0100,0.0101,0.0000,0.0000,0.0000,-0.0015
-0.0046,-0.0035,14.3071,-0.0091,0.0100,0.0000,0.0000,0.0000,-0.0012
-0.0039,-0.0030,14.4071,-0.0082,0.0100,0.0000,0.0000,0.0000,-0.0009
-0.0032,-0.0024,14.5071,-0.0072,0.0099,0.0000,0.0000,0.0000,-0.0006
-0.0024,-0.0019,14.6071,-0.0063,0.0099,0.0000,0.0000,0.0000,-0.0004
-0.0018,-0.0014,14.7070,-0.0054,0.0098,0.0000,0.0000,0.0000,-0.0001
-0.0011,-0.0009,14.8070,-0.0044,0.0098,0.0000,0.0000,0.0000,0.0000
-0.0006,-0.0005,14.9070,-0.0035,0.0098,0.0000,0.0000,0.0000,0.0000
