v,omega,x,y,phi,xr,yr,phir,delta
0.0098,0.0076,6.8081,-0.1356,0.0225,0.0000,0.0000,0.0000,0.0023
0.0080,0.0062,6.9080,-0.1331,0.0227,0.0000,0.0000,0.0000,0.0016
0.0062,0.0049,7.0080,-0.1307,0.0228,0.0000,0.0000,0.0000,0.0011
0.0046,0.0037,7.1080,-0.1283,0.0229,0.0000,0.0000,0.0000,0.0005
0.0032,0.0026,7.2079,-0.1259,0.0230,0.0000,0.0000,0.0000,0.0000
0.0018,0.0015,7.3079,-0.1236,0.0230,0.0000,0.0000,0.0000,-0.0004
0.0005,0.0006,7.4079,-0.1212,0.0231,0.0000,0.0000,0.0000,-0.0008
-0.0006,-0.0003,7.5079,-0.1189,0.0231,0.0000,0.0000,0.0000,-0.0012
-0.0017,-0.0011,7.6078,-0.1166,0.0231,0.0000,0.0000,0.0000,-0.0015
-0.0027,-0.0018,7.7078,-0.1143,0.0230,0.0000,0.0000,0.0000,-0.0018
-0.0035,-0.0025,7.8078,-0.1121,0.0230,0.0000,0.0000,0.0000,-0.0021
-0.0043,-0.0030,7.9078,-0.1099,0.0230,0.0000,0.0000,0.0000,-0.0023
-0.0049,-0.0035,8.0077,-0.1076,0.0229,0.0000,0.0000,0.0000,-0.0024
-0.0055,-0.0039,8.1077,-0.1055,0.0228,0.0000,0.0000,0.0000,-0.0026
-0.0059,-0.0043,8.2077,-0.1033,0.0228,0.0000,0.0000,0.0000,-0.0027
-0.0063,-0.0046,8.3077,-0.1011,0.0227,0.0000,0.0000,0.0000,-0.0027
-0.0065,-0.0048,8.4076,-0.0990,0.0226,0.0000,0.0000,0.0000,-0.0027
-0.0067,-0.0049,8.5076,-0.0969,0.0225,0.0000,0.0000,0.0000,-0.0027
-0.0068,-0.0050,8.6076,-0.0947,0.0224,0.0000,0.0000,0.0000,-0.0027
-0.0068,-0.0050,8.7076,-0.0926,0.0223,0.0000,0.0000,0.0000,-0.0026
-0.0067,-0.0049,8.8075,-0.0905,0.0222,0.0000,0.0000,0.0000,-0.0025
-0.0065,-0.0048,8.9075,-0.0885,0.0221,0.0000,0.0000,0.0000,-0.0023
-0.0062,-0.0046,9.0075,-0.0864,0.0220,0.0000,0.0000,0.0000,-0.0021
-0.0058,-0.0043,9.1075,-0.0843,0.0219,0.0000,0.0000,0.0000,-0.0019
-0.0054,-0.0040,9.2075,-0.0822,0.0218,0.0000,0.0000,0.0000,-0.0016
-0.0048,-0.0036,9.3074,-0.0802,0.0217,0.0000,0.0000,0.0000,-0.0014
-0.0042,-0.0032,9.4074,-0.0781,0.0217,0.0000,0.0000,0.0000,-0.0011
-0.0035,-0.0027,9.5074,-0.0760,0.0216,0.0000,0.0000,0.0000,-0.0007
-0.0028,-0.0021,9.6074,-0.0739,0.0215,0.0000,0.0000,0.0000,-0.0004
-0.0020,-0.0016,9.7074,-0.0718,0.0215,0.0000,0.0000,0.0000,-0.0002
-0.0013,-0.0011,9.8073,-0.0697,0.0215,0.0000,0.0000,0.0000,0.0000
-0.0007,-0.0006,9.9073,-0.0676,0.0214,0.0000,0.0000,0.0000,0.0000
