v,omega,x,y,phi,xr,yr,phir,delta
-0.0391,-0.0289,70.3009,0.6873,0.0851,70.5995,0.7010,0.0712,-0.0160
-0.0397,-0.0293,70.4006,0.6950,0.0845,70.6995,0.7081,0.0705,-0.0162
-0.0403,-0.0298,70.5003,0.7026,0.0839,70.7995,0.7151,0.0698,-0.0165
-0.0408,-0.0302,70.6000,0.7102,0.0834,70.8995,0.7221,0.0691,-0.0167
-0.0414,-0.0306,70.6997,0.7177,0.0828,70.9995,0.7289,0.0684,-0.0169
-0.0419,-0.0310,70.7994,0.7252,0.0821,71.0995,0.7357,0.0676,-0.0171
-0.0425,-0.0314,70.8992,0.7325,0.0815,71.1995,0.7425,0.0669,-0.0173
-0.0430,-0.0318,70.9989,0.7398,0.0809,71.2995,0.7491,0.0661,-0.0175
-0.0436,-0.0322,71.0986,0.7471,0.0803,71.3995,0.7557,0.0654,-0.0177
-0.0441,-0.0326,71.1984,0.7542,0.0796,71.4995,0.7622,0.0646,-0.0179
-0.0446,-0.0330,71.2981,0.7613,0.0790,71.5995,0.7687,0.0639,-0.0182
-0.0452,-0.0334,71.3979,0.7683,0.0783,71.6995,0.7750,0.0631,-0.0184
-0.0457,-0.0338,71.4977,0.7752,0.0776,71.7995,0.7813,0.0623,-0.0186
-0.0462,-0.0341,71.5974,0.7820,0.0770,71.8995,0.7875,0.0616,-0.0188
-0.0467,-0.0345,71.6972,0.7888,0.0763,71.9995,0.7936,0.0608,-0.0190
-0.0472,-0.0349,71.7970,0.7955,0.0756,72.0995,0.7997,0.0600,-0.0192
-0.0477,-0.0353,71.8968,0.8021,0.0749,72.1995,0.8056,0.0592,-0.0193
-0.0482,-0.0356,71.9966,0.8086,0.0742,72.2995,0.8115,0.0584,-0.0195
-0.0487,-0.0360,72.0964,0.8151,0.0735,72.3995,0.8173,0.0576,-0.0197
-0.0492,-0.0364,72.1962,0.8215,0.0727,72.4995,0.8231,0.0567,-0.0199
-0.0497,-0.0367,72.2960,0.8277,0.0720,72.5995,0.8287,0.0559,-0.0201
-0.0502,-0.0371,72.3958,0.8339,0.0713,72.6995,0.8342,0.0551,-0.0203
-0.0506,-0.0374,72.4956,0.8401,0.0705,72.7995,0.8397,0.0542,-0.0205
-0.0511,-0.0378,72.5954,0.8461,0.0698,72.8995,0.8451,0.0534,-0.0207
-0.0516,-0.0381,72.6953,0.8521,0.0690,72.9995,0.8504,0.0526,-0.0208
-0.0520,-0.0385,72.7951,0.8579,0.0683,73.0995,0.8556,0.0517,-0.0210
-0.0525,-0.0388,72.8949,0.8637,0.0675,73.1995,0.8608,0.0509,-0.0212
-0.0529,-0.0391,72.9948,0.8694,0.0667,73.2995,0.8658,0.0500,-0.0214
-0.0534,-0.0395,73.0946,0.8750,0.0659,73.3995,0.8708,0.0491,-0.0215
-0.0538,-0.0398,73.1945,0.8806,0.0652,73.4995,0.8756,0.0483,-0.0217
-0.0543,-0.0401,73.2943,0.8860,0.0644,73.5994,0.8804,0.0474,-0.0219
